time,latitude,longitude,depth,mag
2014-01-01T07:04:04.190Z,41.9117,137.5205,285.08,4.9
2014-01-01T14:39:26.570Z,36.6547,140.9389,61.76,4.9
2014-01-02T07:48:30.020Z,35.2496,140.4761,35,4.5
2014-01-02T13:11:05.330Z,35.262,140.5056,28.93,4.8
2014-01-04T18:12:20.390Z,33.7316,141.3232,33.98,4.7
2014-01-05T14:28:08.320Z,33.4243,139.5192,29.8,4.6
2014-01-06T15:57:35.310Z,37.5342,141.6798,51.8,4.7
2014-01-07T13:11:46.680Z,35.308,140.4681,21.72,4.5
2014-01-08T12:28:21.750Z,38.8492,142.1167,61.13,4.5
2014-01-08T18:57:36.950Z,36.7025,140.5043,37.48,4.6
2014-01-09T04:31:54.460Z,42.0428,142.6886,64.22,5
2014-01-09T06:28:13.380Z,36.9322,141.2823,39.71,4.6
2014-01-14T10:50:09.800Z,36.467,141.2249,20.37,4.6
2014-01-14T17:30:33.160Z,38.11,142.6769,34.83,4.7
2014-01-15T01:44:53.810Z,31.1708,143.0289,33.58,4.5
2014-01-15T12:04:41.530Z,36.0651,140.7964,54.85,4.5
2014-01-15T23:11:40.680Z,41.9535,142.4029,65.62,4.5
2014-01-16T01:12:17.710Z,40.1151,142.8184,51.83,5.1
2014-01-16T12:22:17.260Z,38.8526,142.6323,51.52,4.5
2014-01-16T13:28:07.770Z,38.1201,141.8585,46.69,4.6
2014-01-17T06:34:18.680Z,31.2003,142.8388,35.25,4.5
2014-01-17T09:37:36.800Z,36.6967,141.2529,34.97,4.7
2014-01-17T09:53:21.060Z,35.5269,139.9986,73.94,4.6
2014-01-17T10:57:11.580Z,31.2184,142.8999,10,4.5
2014-01-18T11:51:47.240Z,33.5958,141.1952,47.74,4.7
2014-01-18T17:04:32.680Z,31.0675,142.8611,20.24,4.6
2014-01-20T16:27:34.480Z,31.3227,143.1241,30.96,4.7
2014-01-20T19:41:55.450Z,41.0867,143.2247,47.53,4.6
2014-01-21T17:25:35.300Z,33.5252,141.4622,30.85,4.8
2014-01-22T02:06:41.770Z,31.2391,142.739,30.94,4.5
2014-01-22T02:31:21.270Z,37.2803,141.6561,43.21,4.6
2014-01-22T14:47:47.990Z,31.9247,138.1033,350.64,4.5
2014-01-23T08:51:50.180Z,33.0839,139.5424,19.39,4.5
2014-01-23T09:20:57.440Z,35.1438,141.0804,29.96,4.7
2014-01-27T15:49:21.700Z,32.1472,141.8683,25.44,4.7
2014-01-27T20:25:29.250Z,36.3612,141.0935,35.7,4.7
2014-01-27T20:26:46.290Z,36.1071,141.283,44.96,4.5
2014-02-04T00:35:31.890Z,37.8056,141.6486,51.66,4.9
2014-02-04T11:30:38.310Z,36.5106,141.9751,36.78,4.5
2014-02-05T01:11:41.300Z,33.2275,140.9005,69.98,4.7
2014-02-05T15:46:10.260Z,36.0251,139.716,91.78,4.8
2014-02-05T17:32:14.760Z,38.6854,142.3634,48.51,5.3
2014-02-07T17:18:34.490Z,37.5618,141.3625,61.98,5.2
2014-02-08T02:34:23.050Z,37.0868,141.1201,51.78,5
2014-02-09T10:54:53.020Z,38.1488,141.9889,65.23,4.5
2014-02-09T12:08:04.620Z,31.6457,141.8989,16.54,4.5
2014-02-09T22:57:29.430Z,42.3198,143.0888,61.17,4.5
2014-02-10T19:14:39.980Z,34.1564,139.9465,93.59,5.3
2014-02-11T02:37:49.190Z,33.1467,140.7949,65.82,4.5
2014-02-11T06:05:31.010Z,41.9392,142.3815,66.28,4.8
2014-02-14T18:54:24.560Z,36.7303,141.3711,33.74,4.6
2014-02-16T15:54:50.350Z,36.5079,142.9495,36.17,4.7
2014-02-18T15:29:33.230Z,36.098,139.8035,62.49,4.6
2014-02-18T16:49:45.990Z,33.7552,135.9123,41.69,4.8
2014-02-18T20:02:32.390Z,38.3276,142.3725,47.82,4.7
2014-02-19T15:42:13.120Z,35.6983,140.6942,53.45,4.6
2014-02-21T22:31:11.030Z,35.9775,140.5326,54.2,4.5
2014-02-21T23:44:54.570Z,40.1303,142.6055,47.7,4.5
2014-02-26T03:55:07.170Z,31.7929,141.7244,10.3,4.5
2014-03-03T13:00:50.470Z,33.546,141.8087,25.54,4.6
2014-03-03T20:28:16.000Z,40.9023,141.2243,104.66,4.6
2014-03-05T15:02:45.550Z,31.3621,138.2167,384.49,4.7
2014-03-06T05:53:14.290Z,36.4244,141.0936,45.7,4.5
2014-03-07T05:28:06.260Z,30.9021,142.6237,31.71,4.8
2014-03-07T18:34:20.870Z,35.6111,140.5515,23.94,4.8
2014-03-08T21:07:33.700Z,36.1613,141.2104,46.13,4.5
2014-03-10T06:53:08.870Z,38.6991,142.2489,54.1,4.5
2014-03-11T20:04:31.360Z,35.7225,140.1604,58.52,5
2014-03-12T22:35:54.640Z,31.0351,131.4596,50.75,4.6
2014-03-13T17:06:50.770Z,33.6842,131.8249,79,6.3
2014-03-16T00:05:28.910Z,35.7253,140.8487,40.27,4.8
2014-03-17T09:02:52.850Z,36.9353,141.4718,30.24,5
2014-03-18T17:24:42.360Z,35.7043,140.2107,61.52,4.6
2014-03-19T15:48:40.090Z,39.7206,141.8085,84.68,4.5
2014-03-19T17:06:44.490Z,34.0587,142.1867,33.02,4.7
2014-03-19T20:23:00.270Z,34.0468,142.1181,33.29,4.9
2014-03-20T18:42:48.600Z,35.6644,140.8812,36.82,4.5
2014-03-22T06:23:47.430Z,33.3051,141.2003,7.89,4.6
2014-03-22T11:05:39.270Z,33.6617,131.8645,85.66,4.6
2014-03-22T13:38:46.150Z,36.3864,142.5402,32.13,4.7
2014-03-25T19:54:00.960Z,37.0905,141.4079,54.5,4.5
2014-03-29T01:53:57.700Z,36.3215,141.8379,20,5.4
2014-03-30T03:23:35.230Z,35.7148,140.1161,62.37,4.5
2014-03-30T11:11:59.920Z,37.1556,142.1876,38.54,4.8
2014-03-31T16:15:14.410Z,36.7401,140.6833,50.06,4.7
2014-04-01T04:08:47.360Z,38.2074,141.5725,54.42,4.6
2014-04-02T23:22:47.720Z,39.1648,141.8049,58.06,5.5
2014-04-03T15:46:44.620Z,32.5421,132.0696,37.4,4.6
2014-04-05T01:16:18.420Z,39.1937,142.5642,29.68,5.2
2014-04-07T20:07:56.930Z,37.3491,138.8183,13.1,4.7
2014-04-08T15:02:07.890Z,36.2452,141.8559,27.51,4.9
2014-04-10T04:19:03.610Z,35.69,140.0894,73.15,4.7
2014-04-11T15:18:25.400Z,40.9374,143.11,35.42,4.5
2014-04-12T15:19:14.730Z,36.879,142.4397,29.61,4.6
2014-04-13T09:16:01.760Z,37.2805,141.2977,55.06,4.8
2014-04-15T18:36:09.930Z,36.1784,141.0124,37.62,4.7
2014-04-16T17:20:11.610Z,38.2833,141.9903,52.61,4.6
2014-04-16T18:17:24.280Z,37.2679,142.0442,43.81,4.9
2014-04-17T14:44:01.140Z,37.4254,142.2446,31.96,5.2
2014-04-17T22:53:02.710Z,36.081,139.8409,64.85,4.7
2014-04-19T08:09:08.050Z,38.0883,142.0106,79.03,4.5
2014-04-20T19:30:11.090Z,36.8158,142.1505,25.15,4.9
2014-04-21T21:22:54.340Z,35.5218,141.1712,21.79,4.7
2014-04-22T11:46:47.840Z,33.7051,140.8771,52.23,4.8
2014-04-25T19:15:25.450Z,35.7036,140.9696,8.16,4.6
2014-04-29T05:00:12.290Z,38.1643,141.8535,59.03,4.5
2014-05-01T08:30:45.810Z,32.3226,138.625,82.95,4.5
2014-05-03T07:20:23.400Z,36.2567,137.5918,10,4.5
2014-05-03T13:39:04.230Z,37.2728,141.5028,48.86,4.5
2014-05-03T14:41:46.130Z,38.9183,142.7779,58.58,4.5
2014-05-04T10:01:09.550Z,32.0747,132.0353,40.64,4.5
2014-05-04T20:02:15.400Z,36.0884,139.9005,50.97,4.5
2014-05-04T20:18:24.680Z,34.9118,139.4186,153,6
2014-05-05T23:00:21.370Z,41.4316,142.1105,65.35,4.6
2014-05-06T14:31:00.350Z,37.7872,142.7477,14.62,4.7
2014-05-08T11:50:49.260Z,36.9286,141.4774,22.71,4.6
2014-05-08T19:22:51.880Z,34.5965,141.5834,25.08,4.8
2014-05-11T10:32:15.360Z,36.1481,142.3639,32.3,4.7
2014-05-12T14:11:01.620Z,39.6737,142.3021,71.07,4.5
2014-05-12T23:35:02.310Z,35.5972,140.0595,55.34,5.1
2014-05-13T23:03:23.330Z,41.9765,142.5506,59.18,4.9
2014-05-15T09:48:14.620Z,35.0598,139.2843,126.87,4.8
2014-05-17T00:50:33.220Z,36.3885,142.6791,31.82,4.5
2014-05-19T12:02:29.480Z,40.9759,142.0602,66.1,4.6
2014-05-25T01:29:30.450Z,32.4778,141.8074,18.52,4.5
2014-05-26T13:30:21.660Z,34.5658,141.6781,19.51,4.5
2014-05-27T16:12:10.480Z,32.5,140.5882,76.79,5.3
2014-05-28T17:22:22.500Z,36.8249,141.3305,20.57,4.5
2014-05-29T00:17:59.450Z,33.2844,139.3996,30.93,4.7
2014-06-03T17:22:23.710Z,36.4922,140.6147,59.97,4.6
2014-06-04T13:15:53.300Z,32.4174,141.5766,47.06,4.9
2014-06-04T14:08:11.300Z,32.4023,141.772,20.46,4.6
2014-06-05T12:53:35.160Z,32.5008,141.9676,25.34,4.6
2014-06-06T15:12:46.050Z,35.6209,141.0874,14.74,4.5
2014-06-08T05:24:33.390Z,39.1635,141.7092,95.61,5.2
2014-06-08T17:03:06.010Z,34.6214,141.706,23.49,4.5
2014-06-08T21:10:42.070Z,37.9008,141.3226,76.08,4.7
2014-06-08T22:50:59.360Z,40.9552,141.6429,89.53,4.6
2014-06-09T08:58:44.150Z,34.9776,140.1875,53.67,4.8
2014-06-12T14:53:28.090Z,32.4211,141.7902,19.11,4.6
2014-06-12T16:07:23.100Z,35.4519,141.5201,22.76,4.5
2014-06-14T17:31:41.560Z,39.4384,140.9876,92,5.5
2014-06-15T17:40:22.110Z,37.0961,141.5966,15.18,4.6
2014-06-15T18:19:14.540Z,36.6041,141.7237,15.87,5.5
2014-06-15T20:14:50.620Z,37.0961,141.1141,45,5.6
2014-06-16T17:42:22.530Z,33.8719,139.58,130.28,5.3
2014-06-18T12:40:59.980Z,38.55,141.9331,56.47,4.6
2014-06-19T15:22:41.510Z,31.0091,131.4666,44.54,4.6
2014-06-19T16:43:46.530Z,35.4925,140.0306,65.77,4.7
2014-06-20T08:49:01.310Z,38.1804,141.8129,51.15,4.5
2014-06-20T16:10:36.940Z,31.2023,131.283,54.98,4.7
2014-06-25T15:41:47.040Z,36.0394,139.8683,50.1,4.5
2014-06-26T09:26:02.350Z,34.0354,141.5008,37.72,4.5
2014-06-26T21:55:39.410Z,37.5996,141.7333,59.23,4.7
2014-06-28T05:51:06.230Z,36.3694,138.9887,155.62,4.6
2014-06-28T07:11:50.120Z,35.9235,140.9747,39.11,4.8
2014-06-29T17:29:52.430Z,38.6761,142.5545,83.74,4.6
2014-07-02T06:43:27.380Z,33.7526,142.4397,28.66,4.5
2014-07-02T22:29:49.220Z,35.3716,140.0692,60.38,4.5
2014-07-02T22:58:05.150Z,36.6041,140.5234,11.99,4.5
2014-07-04T15:16:56.970Z,37.2591,141.5868,46.87,4.6
2014-07-04T22:42:05.070Z,39.648,142.0802,50.31,5.7
2014-07-05T14:59:33.860Z,37.3439,141.7252,36.72,4.9
2014-07-05T20:22:56.510Z,42.1453,143.0106,59.97,4.8
2014-07-07T02:40:42.350Z,42.0035,142.3969,67.79,4.6
2014-07-07T18:09:18.750Z,35.4244,140.835,50.37,4.7
2014-07-10T08:58:55.620Z,36.7485,140.5509,19.99,4.7
2014-07-11T19:22:00.820Z,37.0052,142.4525,20,6.5
2014-07-11T19:28:14.250Z,36.9093,142.4903,17.59,5.2
2014-07-11T19:30:49.170Z,37.0358,142.4068,9.23,5.1
2014-07-11T19:34:05.310Z,36.7981,142.5773,11.3,5
2014-07-11T19:35:52.550Z,36.907,142.4134,11.65,4.8
2014-07-11T19:38:03.480Z,36.86,142.6559,20.99,4.7
2014-07-11T19:39:37.590Z,36.782,142.8209,10,4.7
2014-07-11T19:42:58.120Z,36.8053,142.5571,10.59,4.5
2014-07-11T19:47:36.690Z,36.8633,142.5422,9.84,4.6
2014-07-11T19:51:25.390Z,36.9436,142.5819,18.15,4.8
2014-07-11T19:59:11.710Z,36.865,142.4573,11.79,4.7
2014-07-11T20:06:17.600Z,36.9009,142.5172,23.26,4.5
2014-07-11T21:00:33.240Z,36.9778,142.5078,33.62,4.5
2014-07-11T21:49:21.910Z,36.8208,142.543,33.33,4.5
2014-07-12T00:56:59.570Z,36.9348,142.5163,27.13,4.5
2014-07-12T09:29:56.380Z,36.9473,142.3437,10,4.5
2014-07-12T17:44:20.040Z,36.8748,142.584,19.48,4.5
2014-07-12T19:10:07.070Z,36.9231,142.3595,27.38,4.5
2014-07-13T19:44:13.500Z,36.9658,142.6178,25.92,4.5
2014-07-14T14:41:51.330Z,33.1205,141.8942,10,4.6
2014-07-14T15:57:14.960Z,33.0769,141.8452,10,4.6
2014-07-15T10:43:13.910Z,37.0347,142.7481,24.56,4.5
2014-07-15T20:43:40.590Z,36.7091,142.4669,9.74,4.7
2014-07-16T08:24:54.790Z,36.9154,140.8714,36.88,4.6
2014-07-18T04:38:50.380Z,37.1007,142.6359,10,4.6
2014-07-19T01:42:53.790Z,36.0302,140.1164,66.4,4.6
2014-07-20T01:25:33.470Z,36.5102,140.6291,56.37,4.6
2014-07-20T13:30:21.290Z,32.1242,134.3928,26.32,4.6
2014-07-21T12:36:54.500Z,36.9689,142.6956,12.65,4.5
2014-07-21T15:58:02.980Z,35.9561,137.8883,10,4.7
2014-07-21T23:38:17.630Z,35.4329,141.139,30.72,4.5
2014-07-25T04:18:16.240Z,41.5694,142.1922,64.06,5.1
2014-07-26T20:38:31.090Z,36.9831,142.5678,21.64,4.6
2014-07-27T05:58:14.890Z,33.1248,140.5182,59.87,4.6
2014-07-27T09:24:15.930Z,39.6127,142.2151,50.63,4.5
2014-07-27T18:09:10.320Z,35.4823,140.6271,58.01,4.7
2014-07-28T04:36:48.490Z,36.1424,141.9807,17.48,4.5
2014-07-28T06:15:37.660Z,34.7231,139.2809,35,4.6
2014-07-28T14:36:12.480Z,37.0207,142.6297,10,4.5
2014-07-28T19:01:37.060Z,36.9904,142.4847,32.65,4.6
2014-07-29T20:05:16.440Z,35.6281,140.186,69.36,4.8
2014-07-30T14:57:06.800Z,37.1403,141.1509,49.32,4.5
2014-08-02T16:09:56.580Z,33.2997,131.6528,94.87,4.7
2014-08-03T00:54:56.780Z,37.9046,142.4167,57.93,4.5
2014-08-03T18:08:28.820Z,36.7006,142.0208,32.03,4.5
2014-08-04T05:58:21.380Z,39.2282,142.1889,35,4.7
2014-08-04T19:36:36.950Z,32.6011,140.6833,68.89,4.7
2014-08-06T15:12:05.080Z,38.9387,142.0765,60.2,4.6
2014-08-06T20:05:43.810Z,40.0545,140.7424,24.72,4.6
2014-08-10T03:43:17.240Z,41.1585,142.1309,41,6.1
2014-08-12T00:47:22.360Z,34.2586,140.3887,86.63,4.7
2014-08-12T20:34:14.450Z,31.649,142.3109,20.39,4.6
2014-08-13T22:51:28.660Z,33.8501,131.888,81.85,4.5
2014-08-15T12:24:45.700Z,36.8394,142.5464,35,4.6
2014-08-15T18:45:04.050Z,36.353,140.9326,39.15,4.5
2014-08-15T20:25:07.900Z,36.7183,142.3365,30.68,4.7
2014-08-17T18:15:53.080Z,36.8289,142.4714,10,4.8
2014-08-20T02:57:17.880Z,41.0806,142.2608,60.81,4.6
2014-08-20T19:38:25.260Z,33.1969,138.1144,307.89,5.2
2014-08-23T18:33:13.220Z,36.7093,141.2369,6.47,4.6
2014-08-24T08:26:51.330Z,36.0113,139.7891,82.81,4.7
2014-08-24T20:30:04.790Z,37.7105,141.8238,41.85,4.5
2014-08-25T03:40:07.160Z,36.2162,141.9371,20.74,4.5
2014-08-25T18:42:19.280Z,34.353,134.9298,27.59,4.6
2014-08-25T19:51:02.080Z,39.754,141.84,69.56,4.5
2014-08-26T02:22:51.670Z,36.4068,140.3528,116.42,4.8
2014-08-26T03:36:20.720Z,39.0591,142.4241,60.1,4.5
2014-08-26T19:49:33.660Z,38.2126,142.0605,37.06,4.6
2014-08-27T04:48:58.370Z,41.0699,143.167,26,5.4
2014-08-27T06:44:16.100Z,36.7142,141.2233,10.94,4.5
2014-08-27T10:25:54.850Z,35.3737,141.2723,30.98,4.6
2014-08-28T19:14:35.550Z,32.0864,132.0682,20,5.8
2014-08-28T19:32:00.400Z,31.918,132.0843,10,4.5
2014-08-29T07:35:09.230Z,36.8653,141.2365,35,4.9
2014-08-29T13:33:42.270Z,36.8976,143.1734,35.2,4.5
2014-08-30T20:42:29.360Z,37.6427,142.3406,10,4.5
2014-08-30T20:44:29.390Z,37.0547,141.1474,53.63,4.5
2014-09-01T01:26:35.990Z,38.2503,142.182,37.3,4.6
2014-09-03T07:24:21.920Z,36.8594,139.4288,29.71,5.2
2014-09-03T10:11:15.290Z,35.3204,141.2211,23.7,4.8
2014-09-03T20:34:38.450Z,36.7918,139.4332,10,4.7
2014-09-03T20:36:49.520Z,36.6765,139.5155,7.87,4.6
2014-09-06T08:31:57.570Z,42.0202,142.5397,66.62,4.8
2014-09-06T14:34:31.710Z,37.5427,140.6756,91.74,4.5
2014-09-09T02:43:13.940Z,35.6166,140.5692,68.65,4.6
2014-09-10T01:09:36.410Z,40.1424,141.828,68.69,4.8
2014-09-16T03:28:30.310Z,36.0873,139.8502,49.94,5.5
2014-09-18T12:52:33.460Z,31.7037,142.4721,28.28,4.5
2014-09-18T13:29:13.910Z,31.2425,140.9142,78.04,4.5
2014-09-18T16:34:49.360Z,37.9936,141.859,56.53,4.5
2014-09-22T07:13:39.060Z,31.4608,141.8306,10,4.7
2014-09-23T11:04:29.380Z,31.3695,141.7606,10,4.8
2014-09-24T12:45:46.920Z,37.5179,141.3349,50.96,5.2
2014-09-24T13:30:57.020Z,37.5477,141.3659,53.08,5.1
2014-09-24T22:29:25.830Z,35.0716,141.4264,24.68,4.5
2014-09-25T04:25:45.230Z,42.014,142.4878,68.6,4.6
2014-09-26T08:49:45.780Z,41.602,142.0917,67.18,4.5
2014-09-28T06:09:31.670Z,36.1824,140.1195,52.22,4.5
2014-09-30T00:41:56.040Z,32.3206,141.834,10,4.5
2014-10-02T05:32:36.150Z,38.4099,141.8047,52.45,4.6
2014-10-03T00:57:30.710Z,40.1565,142.7657,30,5.5
2014-10-04T17:50:32.930Z,31.4106,141.6044,10,4.5
2014-10-05T15:09:16.650Z,37.4722,141.297,51.88,4.6
2014-10-06T06:37:58.700Z,38.2524,142.0632,35,4.6
2014-10-10T08:22:07.110Z,39.0297,142.069,65.49,4.6
2014-10-10T20:16:57.140Z,36.4853,142.4856,35,4.7
2014-10-11T02:35:47.480Z,41.0272,143.1649,22,6.1
2014-10-11T05:20:35.040Z,40.9544,143.0805,20,5.4
2014-10-11T09:58:10.370Z,40.8383,143.1698,32.7,4.5
2014-10-11T10:05:42.550Z,40.9867,143.105,36.33,4.7
2014-10-11T20:28:08.150Z,35.6642,140.8939,22.75,4.5
2014-10-13T15:41:19.080Z,36.2106,140.9481,34.46,4.6
2014-10-13T21:24:58.840Z,40.9721,141.7329,70.88,4.7
2014-10-14T18:08:45.960Z,40.9297,143.2338,29.32,5
2014-10-15T03:51:16.030Z,38.5725,141.6264,61.44,4.7
2014-10-15T23:53:02.260Z,31.7863,140.5047,60,5.5
2014-10-17T09:58:31.840Z,36.0186,140.9407,36.67,4.6
2014-10-19T08:51:17.840Z,30.9433,141.9129,10.95,4.7
2014-10-23T19:30:42.020Z,36.4281,141.0169,38.23,4.5
2014-10-24T10:56:13.500Z,35.4505,141.5157,17.88,4.5
2014-10-27T04:02:57.780Z,40.6457,142.6868,55,4.6
2014-10-27T04:32:59.560Z,40.7159,141.943,81.15,4.6
2014-10-27T06:36:24.650Z,35.8148,140.1114,71.67,4.7
2014-10-27T11:47:11.860Z,32.3049,141.8541,3.5,4.6
2014-10-28T17:37:27.480Z,36.1202,141.1505,17.15,4.5
2014-10-31T06:33:32.780Z,40.1652,142.4054,43.34,4.7
2014-11-01T05:44:57.410Z,33.856,142.5355,10,4.7
2014-11-01T07:47:45.250Z,41.9403,142.4703,52.21,4.7
2014-11-01T10:36:27.680Z,33.6533,131.9462,73.97,4.5
2014-11-02T08:41:38.110Z,40.5326,141.5386,106.65,4.5
2014-11-03T13:34:00.190Z,34.1848,141.0893,42.36,4.6
2014-11-07T23:54:22.850Z,37.804,142.299,42.44,5.1
2014-11-08T12:09:30.160Z,38.7985,142.0129,61.9,4.5
2014-11-11T10:25:51.110Z,36.8356,139.4274,118.61,4.6
2014-11-12T00:53:28.190Z,36.1199,140.1107,68.49,4.8
2014-11-12T01:13:57.240Z,34.2559,135.6032,62.38,4.6
2014-11-12T03:05:18.540Z,38.8492,142.0585,54.06,4.5
2014-11-12T11:04:48.910Z,33.0208,140.6623,66.24,5.1
2014-11-13T15:56:39.320Z,36.7689,140.7834,39.86,4.5
